player,key,web_key,club,league,minutes,goals,assists,xg,xa,form
Mamadou Sarr,mamadou sarr,m.sarr,Chelsea,EPL,100,0,0,0.35,0.0,0.3
Tosin Adarabioyo,tosin adarabioyo,tosin,Chelsea,EPL,788,0,0,0.11,0.4,0.0
Josh Acheampong,josh acheampong,acheampong,Chelsea,EPL,657,1,0,0.62,0.13,1.0
Aarón Anselmino,aaron anselmino,anselmino,Chelsea,EPL,0,0,0,0.0,0.0,0.0
Cole Palmer,cole palmer,palmer,Chelsea,EPL,1954,10,2,10.55,2.49,4.0
Pedro Lomba Neto,pedro lomba neto,neto,Chelsea,EPL,2629,5,7,4.59,6.84,3.7
Enzo Fernández,enzo fernandez,enzo,Chelsea,EPL,3114,10,5,11.26,7.26,7.3
Estêvão Almeida de Oliveira Gonçalves,estevao almeida de oliveira goncalves,estevao,Chelsea,EPL,839,2,5,2.91,2.14,0.0
Jamie Bynoe-Gittens,jamie bynoe-gittens,gittens,Chelsea,EPL,486,0,2,0.81,0.94,0.0
Christopher Nkunku,christopher nkunku,nkunku,Chelsea,EPL,0,0,0,0.0,0.0,0.0
Moisés Caicedo Corozo,moises caicedo corozo,caicedo,Chelsea,EPL,2796,3,1,1.45,2.38,1.7
Roméo Lavia,romeo lavia,lavia,Chelsea,EPL,374,0,0,0.21,0.55,0.0
Mykhailo Mudryk,mykhailo mudryk,mudryk,Chelsea,EPL,0,0,0,0.0,0.0,0.0
Andrey Nascimento dos Santos,andrey nascimento dos santos,andrey santos,Chelsea,EPL,1247,1,0,2.0,0.88,4.0
Dário Luís Essugo,dario luis essugo,d.essugo,Chelsea,EPL,26,0,0,0.0,0.01,0.0
Kendry Páez Andrade,kendry paez andrade,paez,Chelsea,EPL,0,0,0,0.0,0.0,0.0
João Pedro Junqueira de Jesus,joao pedro junqueira de jesus,joao pedro,Chelsea,EPL,2658,15,9,14.91,1.96,1.0
Liam Delap,liam delap,delap,Chelsea,EPL,1092,1,2,4.54,0.23,0.7
Nicolas Jackson,nicolas jackson,n.jackson,Chelsea,EPL,0,0,0,0.0,0.0,0.0
Marc Guiu Paz,marc guiu paz,marc guiu,Chelsea,EPL,265,0,1,1.54,0.29,0.0
Alejandro Garnacho Ferreyra,alejandro garnacho ferreyra,garnacho,Chelsea,EPL,1261,1,4,3.44,3.68,0.3
Jorrel Hato,jorrel hato,hato,Chelsea,EPL,1139,0,0,0.3,0.61,1.3
Landon Emenalo,landon emenalo,emenalo,Chelsea,EPL,0,0,0,0.0,0.0,0.0
Max Merrick,max merrick,merrick,Chelsea,EPL,0,0,0,0.0,0.0,0.0
Teddy Sharman-Lowe,teddy sharman-lowe,sharman-lowe,Chelsea,EPL,0,0,0,0.0,0.0,0.0
Jesse Derry,jesse derry,derry,Chelsea,EPL,45,0,0,0.1,0.02,0.0
Mathis Eboué,mathis eboue,eboue,Chelsea,EPL,0,0,0,0.0,0.0,0.0
Ryan Kavuma-McQueen,ryan kavuma-mcqueen,kavuma-mcqueen,Chelsea,EPL,0,0,0,0.0,0.0,0.0
Shumaira Mheuka,shumaira mheuka,mheuka,Chelsea,EPL,1,0,0,0.0,0.0,0.5
Dean Henderson,dean henderson,henderson,Crystal Palace,EPL,3330,0,0,0.0,0.11,1.2
Walter Benítez,walter benitez,benitez,Crystal Palace,EPL,90,0,0,0.0,0.0,0.0
Remi Matthews,remi matthews,matthews,Crystal Palace,EPL,0,0,0,0.0,0.0,0.0
Daniel Muñoz Mejía,daniel munoz mejia,munoz,Crystal Palace,EPL,2400,4,4,2.45,3.94,2.5
Maxence Lacroix,maxence lacroix,lacroix,Crystal Palace,EPL,3085,1,2,2.45,0.83,1.5
